ip;city;region;country;loc;org;timezone;hostname;postal;error
189.8.88.99;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS28669 America-NET Ltda.;America/Sao_Paulo;;01000-000;
168.228.233.138;Santiago de los Caballeros;Santiago Province;DO;19.4517,-70.6970;AS52471 COLUMBUS NETWORKS DOMINICANA, S.A.;America/Santo_Domingo;;11403;
177.220.148.149;Curitiba;Paraná;BR;-25.4278,-49.2731;AS14868 Ligga Telecomunicações S.A.;America/Sao_Paulo;149.148.220.177.dynamic.liggatelecom.com.br;80000-000;
61.92.255.102;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9269 Hong Kong Broadband Network Ltd.;Asia/Hong_Kong;061092255102.ctinets.com;999077;
217.126.127.145;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;145.red-217-126-127.staticip.rima-tde.net;28004;
81.43.79.5;Fuenlabrada;Madrid;ES;40.2842,-3.7942;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;5.red-81-43-79.staticip.rima-tde.net;28940;
181.36.41.107;Santo Domingo Este;Santo Domingo Province;DO;18.4885,-69.8571;AS28118 ALTICE DOMINICANA S.A.;America/Santo_Domingo;;11605;
186.235.156.145;Maceió;Alagoas;BR;-9.6658,-35.7353;AS53202 Acesso10 Telecom;America/Maceio;fejal-mco-20317.186-235-156-145.acesso10.net.br;57000-000;
194.30.42.26;Cornellà de Llobregat;Catalonia;ES;41.3500,2.0833;AS3262 SAREnet, S.A.;Europe/Madrid;;08940;
118.140.67.54;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9304 HGC Global Communications Limited;Asia/Hong_Kong;;999077;
103.253.239.186;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9381 HKBN Enterprise Solutions HK Limited;Asia/Hong_Kong;;999077;
200.223.23.194;Salvador;Bahia;BR;-12.9756,-38.4910;AS7738 V tal;America/Bahia;;40000-000;
105.179.0.78;Kigali;Kigali;RW;-1.9500,30.0588;AS37228 KT RWANDA NETWORK Ltd;Africa/Kigali;;;
190.166.216.249;Dajabón;Dajabón;DO;19.5488,-71.7083;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;249.216.166.190.f.sta.codetel.net.do;10801;
213.96.193.17;Donostia / San Sebastián;Basque Country;ES;43.3128,-1.9750;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;17.red-213-96-193.staticip.rima-tde.net;20001;
88.12.61.134;Madrid;Madrid;ES;40.4187,-3.7076;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;134.red-88-12-61.staticip.rima-tde.net;28013;
200.155.149.98;Rio Grande;Rio Grande do Sul;BR;-32.0350,-52.0986;AS11432 Telium Telecomunicações Ltda;America/Sao_Paulo;;96200-000;
200.219.165.54;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS11271 SENCINET LATAM BRASIL LTDA;America/Sao_Paulo;;01000-000;
194.179.47.90;Madrid;Madrid;ES;40.4187,-3.7076;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;90.red-194-179-47.customer.static.ccgg.telefonica.net;28013;
190.166.217.97;Dajabón;Dajabón;DO;19.5488,-71.7083;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;97.217.166.190.f.sta.codetel.net.do;10801;
41.186.11.53;Kigali;Kigali;RW;-1.9500,30.0588;AS36890 MTN Rwandacell;Africa/Kigali;;;
90.160.63.164;Torrent;Valencia;ES;39.4370,-0.4655;AS12479 Orange Espagne SA;Europe/Madrid;;46900;
143.255.52.90;Campo Alegre de Lourdes;Bahia;BR;-9.5173,-43.0103;AS265139 OXENTE NET EMPREENDIMENTOS LTDA - EPP;America/Bahia;oxt-143-255-52-90.oxentenet.com;47220-000;
197.243.43.62;Kigali;Kigali;RW;-1.9500,30.0588;AS37228 KT RWANDA NETWORK Ltd;Africa/Kigali;;;
189.44.233.115;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS10429 TELEFÔNICA BRASIL S.A;America/Sao_Paulo;189-44-233-115.customer.tdatabrasil.net.br;01000-000;
189.90.255.42;Barão de Cocais;Minas Gerais;BR;-19.9458,-43.4872;AS28201 Companhia Itabirana Telecomunicações Ltda;America/Sao_Paulo;ip-189-90-255-42.isp.valenet.com.br;35970-000;
190.167.243.108;Santo Domingo Este;Santo Domingo Province;DO;18.4885,-69.8571;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;108.243.167.190.l.static.claro.net.do;11605;
200.108.135.202;Asunción;Asunción;PY;-25.2865,-57.6470;AS27669 E-life Paraguay S.A.;America/Asuncion;;;
190.80.247.129;Salvaleón de Higüey;La Altagracia Province;DO;18.6150,-68.7080;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;129.247.80.190.m.sta.codetel.net.do;;
85.62.10.3;Madrid;Madrid;ES;40.4165,-3.7026;AS12479 Orange Espagne SA;Europe/Madrid;;28004;
181.94.245.28;Asunción;Asunción;PY;-25.2865,-57.6470;AS27895 Núcleo S.A.;America/Asuncion;host-28.181-94-245.personal.net.py;;
88.12.24.191;Madrid;Madrid;ES;40.4187,-3.7076;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;191.red-88-12-24.staticip.rima-tde.net;28013;
88.87.141.127;Getafe;Madrid;ES;40.3057,-3.7330;AS39447 ZERTIA TELECOMUNICACIONES S.L.;Europe/Madrid;127-141-87-88.zertia.es;28900;
148.0.21.76;Santa Cruz de Barahona;Barahona Province;DO;18.2085,-71.1008;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;76.21.0.148.d.dyn.claro.net.do;11203;
179.96.232.244;Senhor do Bonfim;Bahia;BR;-10.4614,-40.1894;AS263407 Cyber Midia Emp., Assessoria e Informática;America/Bahia;;48970-000;
62.37.224.198;Madrid;Madrid;ES;40.4165,-3.7026;AS12479 Orange Espagne SA;Europe/Madrid;62.37.224.198.static.abi.uni2.es;28004;
